,CommentText,Nickname,Date,LikesCount,IsBaseComment
21," Нет , не свершилось , это не указ , и не приказ , это просто призыв, а призывы никто не выполняет , так как это не обязывает ничему. ", Ник Изобретатель ,2022-02-17 02:51:00,98,False
22," Чеченцы, пока-пока? ", Alex Dee ,2022-02-17 02:55:00,66,True
23, Насчет нелегальных понятно. А легальным разве можно? , Сергей Васильев ,2022-02-17 02:56:00,56,True
24, Надо сначала выслать всех... ввести визовый режим и запрет на вьезд семьями...кишлаками и аулами..)) , pks-8991 ,2022-02-17 02:56:00,118,True
25, Главное выселять все их семьи и лишать гражданства! , RUS VOLK ,2022-02-17 02:59:00,113,True
26," Значит ли выражение ""высылать за любые правонарушения"" то, что если мигрант перейдёт улицу на красный свет, то его задержат и он поедет домой? Это было бы неплохо. Пусть сидят тише воды и ниже травы. А, хулиганов нам не надо - мы сами хулиганы(с))). ", Максим Викторов ,2022-02-17 03:02:00,57,True
27," Поздно спохватились, у них здесь уже прописки и вид на жительство… ", Ira Martini ,2022-02-17 03:03:00,86,True
28, так они тебя и послушали) , Кверти Уиоп ,2022-02-17 03:06:00,29,True
29," А может изначально не надо было позволять господам олигархам ввоз дешевой рабсилы, да еще большей частью нелегально? ", arhipov1356 ,2022-02-17 03:07:00,70,True
30," Тех,кто проявляет экстремизм ,нарушает российские законы и за незаконную трудовую деятельность,только их! ", Теодор Осипов ,2022-02-17 03:08:00,28,False
31," свершилось? вы видели что хоть что нибудь сработало из сказанного и принятого? хоть что нибудь предвосхетило ожидания и заработало лучше чем хотелось? Россию поглотила восточная чума, они будут делать что захотят их будут прикрывать криминальные диаспоры затыкая продажной власти рот деньгами из общаков. точка. ", скрепы наши ,2022-02-17 03:14:00,75,True
32," Вовремя приняли законы, а то сейчас с Украины как побегут. ", Алексей ,2022-02-17 03:15:00,30,True
33, Теперь им с утроенной энергией начнут выдавать паспорта РФ. Чтобы выгнать стало совсем невозможно , Артур Скабичевский ,2022-02-17 03:16:00,58,True
